policy,total_cost_spent,total_cost_spent_ci95_low,total_cost_spent_ci95_high,probes,probes_ci95_low,probes_ci95_high,partial_recal,partial_recal_ci95_low,partial_recal_ci95_high,full_recal,full_recal_ci95_low,full_recal_ci95_high,cumulative_reward_mean,cumulative_reward_ci95_low,cumulative_reward_ci95_high,time_to_failure_median,time_to_failure_IQR,time_to_failure_iqr_q1,time_to_failure_iqr_q3,unnecessary_recalibration_rate,unnecessary_recalibration_rate_ci95_low,unnecessary_recalibration_rate_ci95_high,post_switch_time_to_failure_median,collapse_rate
periodic_full,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,146.42786599903647,146.20906824848186,146.64666374959108,14.0,9.0,10.0,19.0,0.08109999999999999,0.07713280947462,0.08506719052537998,0.0,0.0
periodic_partial,100.0,100.0,100.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,162.70595646724541,162.56519340790913,162.8467195265817,42.0,79.25,14.75,94.0,0.23996000000000003,0.23406660903124948,0.24585339096875058,0.0,0.147
threshold,100.0,100.0,100.0,0.0,0.0,0.0,5.05,4.427570072204898,5.672429927795101,7.98,7.73102802888196,8.22897197111804,42.13953539007284,41.47859971134473,42.800471068800945,25.0,13.0,20.0,33.0,0.66724,0.6541847006273488,0.6802952993726513,0.0,0.0
conservative_bandit,98.566,98.51013290124659,98.62186709875341,3.856,3.749288336337767,3.962711663662233,22.701,22.646457972616055,22.755542027383946,0.005,0.0006260897253040163,0.009373910274695984,160.16759722386485,159.91871982441126,160.41647462331844,42.0,73.25,14.75,88.0,0.23937407170759575,0.2333414851027744,0.24540665831241712,0.0,0.135
