policy,budget,beta,total_cost_spent,total_cost_spent_ci95_low,total_cost_spent_ci95_high,probes,probes_ci95_low,probes_ci95_high,partial_recal,partial_recal_ci95_low,partial_recal_ci95_high,full_recal,full_recal_ci95_low,full_recal_ci95_high,cumulative_reward_mean,cumulative_reward_ci95_low,cumulative_reward_ci95_high,time_to_failure_median,time_to_failure_IQR,time_to_failure_iqr_q1,time_to_failure_iqr_q3,unnecessary_recalibration_rate,unnecessary_recalibration_rate_ci95_low,unnecessary_recalibration_rate_ci95_high,post_shock_ttf_median,collapse_rate_20,recal_cost_spent_post_shock
periodic_partial,10.0,0.5,8.0,8.0,8.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,40.35679396863158,39.54775964965902,41.165828287604135,13.0,8.0,9.0,17.0,0.293,0.2713914919895687,0.3146085080104313,0.0,0.0,0.0
threshold,10.0,0.5,9.656,9.589776034004718,9.722223965995283,0.0,0.0,0.0,0.344,0.27777603400471784,0.4102239659952821,0.828,0.7948880170023589,0.861111982997641,40.43515209975347,39.60870991799915,41.2615942815078,14.0,9.0,9.0,18.0,0.577,0.5350515070673731,0.6189484929326268,0.0,0.0,0.0
conservative_bandit,10.0,0.5,10.0,10.0,10.0,2.56,2.388816062784146,2.731183937215854,1.22,1.134408031392073,1.305591968607927,0.0,0.0,0.0,59.03579480365701,57.54789759744043,60.52369200987359,12.0,9.0,7.0,16.0,0.203,0.18145571715171532,0.2245442828482847,0.0,0.0,0.0
periodic_full,15.0,0.1,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,40.50707930898806,39.69579564233072,41.3183629756454,14.0,10.0,9.0,19.0,0.654,0.61226189549662,0.69573810450338,0.0,0.0,0.0
periodic_partial,15.0,0.1,12.0,12.0,12.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,73.24479688388463,71.85232322654922,74.63727054122005,13.5,9.0,9.0,18.0,0.218,0.20408729849887333,0.23191270150112667,0.0,0.0,0.0
threshold,15.0,0.1,13.664,13.598392710117155,13.729607289882845,0.0,0.0,0.0,1.336,1.270392710117156,1.4016072898828442,0.832,0.7991963550585779,0.864803644941422,41.02930231758534,40.17044838188018,41.888156253290504,15.0,9.0,10.0,19.0,0.6583333333333332,0.6260701268023949,0.6905965398642715,0.0,0.0,0.0
conservative_bandit,15.0,0.1,14.0,14.0,14.0,2.46,2.2467246107415892,2.6732753892584107,2.27,2.1633623053707947,2.3766376946292054,0.0,0.0,0.0,66.68304556090764,65.66294994471794,67.70314117709735,13.0,9.0,9.0,18.0,0.3143333333333333,0.28911872102810515,0.33954794563856144,0.0,0.0,0.016
periodic_full,15.0,0.2,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,39.778987893434824,39.01453557928613,40.543440207583515,13.0,8.0,9.0,17.0,0.624,0.5814996980229991,0.6665003019770009,0.0,0.0,0.0
periodic_partial,15.0,0.2,12.0,12.0,12.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,73.12875545629976,71.80439994287504,74.45311096972448,13.0,9.25,8.0,17.25,0.208,0.193833232674333,0.22216676732566698,0.0,0.0,0.0
threshold,15.0,0.2,13.656,13.589776034004718,13.722223965995283,0.0,0.0,0.0,1.344,1.277776034004718,1.4102239659952822,0.828,0.7948880170023589,0.861111982997641,40.85727529828844,40.045719137039555,41.66883145953733,14.0,9.0,10.0,19.0,0.615,0.5814296603487917,0.6485703396512082,0.0,0.0,0.0
conservative_bandit,15.0,0.2,14.0,14.0,14.0,2.484,2.274047156022624,2.693952843977376,2.258,2.153023578011312,2.362976421988688,0.0,0.0,0.0,66.50286536550811,65.517734135753,67.48799659526323,13.0,9.0,8.0,17.0,0.304,0.2789725839501861,0.3290274160498139,0.0,0.0,0.0
periodic_full,15.0,0.3,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,40.225608856231794,39.46108494237367,40.99013277008992,14.0,9.0,9.0,18.0,0.654,0.61226189549662,0.69573810450338,0.0,0.0,0.0
periodic_partial,15.0,0.3,12.0,12.0,12.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,73.16455156973781,71.78421373473174,74.54488940474388,13.0,9.0,9.0,18.0,0.218,0.20408729849887333,0.23191270150112667,0.0,0.0,0.0
threshold,15.0,0.3,13.68,13.615666759356431,13.744333240643568,0.0,0.0,0.0,1.32,1.2556667593564308,1.3843332406435693,0.84,0.8078333796782153,0.8721666203217846,40.380257145126066,39.6229188731983,41.13759541705383,15.0,9.0,10.0,19.0,0.6563333333333332,0.6239686878251735,0.688697978841493,0.0,0.0,0.0
conservative_bandit,15.0,0.3,14.0,14.0,14.0,2.428,2.224544991282238,2.631455008717762,2.286,2.184272495641119,2.3877275043588813,0.0,0.0,0.0,67.6670016476526,66.72462696549836,68.60937632980684,12.0,9.0,8.0,17.0,0.3093333333333333,0.28372212158228693,0.33494454508437965,0.0,0.0,0.0
periodic_full,15.0,0.4,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,40.834762775885444,40.01863132004009,41.650894231730796,14.0,10.0,9.0,19.0,0.654,0.61226189549662,0.69573810450338,0.0,0.0,0.0
periodic_partial,15.0,0.4,12.0,12.0,12.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,71.38456943358655,69.96401302397776,72.80512584319534,13.0,10.0,8.0,18.0,0.218,0.20408729849887333,0.23191270150112667,0.0,0.0,0.0
threshold,15.0,0.4,13.696,13.632997829117786,13.759002170882214,0.0,0.0,0.0,1.304,1.2409978291177857,1.3670021708822144,0.848,0.8164989145588928,0.8795010854411072,40.86879790664172,40.07113268356139,41.66646312972205,15.0,10.0,9.0,19.0,0.661,0.6299206380794927,0.6920793619205073,0.0,0.0,0.0
conservative_bandit,15.0,0.4,14.0,14.0,14.0,2.616,2.413232406299947,2.8187675937000534,2.192,2.0906162031499735,2.293383796850027,0.0,0.0,0.0,67.07984065073992,66.15776265462766,68.00191864685219,13.0,9.0,8.0,17.0,0.29266666666666663,0.26711731856323445,0.3182160147700988,0.0,0.0,0.0
periodic_full,15.0,0.5,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,40.713413115482936,39.948356202708304,41.47847002825757,14.0,9.0,9.0,18.0,0.64,0.5978840078641476,0.6821159921358524,0.0,0.0,0.0
periodic_partial,15.0,0.5,12.0,12.0,12.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,72.64249299182597,71.20756495077165,74.0774210328803,13.0,9.0,9.0,18.0,0.21333333333333332,0.1992946692880492,0.22737199737861744,0.0,0.0,0.0
threshold,15.0,0.5,13.664,13.598392710117155,13.729607289882845,0.0,0.0,0.0,1.336,1.270392710117156,1.4016072898828442,0.832,0.7991963550585779,0.864803644941422,40.86110651968343,40.0542196085808,41.66799343078606,15.0,9.0,10.0,19.0,0.6473333333333332,0.6155541630113294,0.679112503655337,0.0,0.0,0.0
conservative_bandit,15.0,0.5,14.0,14.0,14.0,2.792,2.5872640009822705,2.996735999017729,2.104,2.0016320004911354,2.2063679995088648,0.0,0.0,0.0,67.18231657738276,66.25758590564047,68.10704724912506,13.0,10.0,7.0,17.0,0.2726666666666666,0.2470210765834815,0.29831225674985173,0.0,0.0,0.0
periodic_full,20.0,0.1,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,40.22438110971835,39.41892267353079,41.029839545905915,14.0,10.0,9.0,19.0,0.326,0.30510274593984876,0.34689725406015126,0.0,0.0,0.0
periodic_partial,20.0,0.1,20.0,20.0,20.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,116.16422050875772,114.72562005163029,117.60282096588516,13.0,10.0,8.0,18.0,0.13040000000000002,0.1220410983759395,0.13875890162406052,0.0,0.0,0.0
threshold,20.0,0.1,20.0,20.0,20.0,0.0,0.0,0.0,0.83,0.6667651546099945,0.9932348453900054,1.668,1.6027060618439977,1.7332939381560022,40.6201987448689,39.86791316452844,41.37248432520936,16.0,9.25,11.0,20.25,0.65,0.6190606468207511,0.6809393531792489,0.0,0.0,0.0
conservative_bandit,20.0,0.1,20.0,20.0,20.0,3.68,3.4436245803853627,3.9163754196146376,3.16,3.041812290192681,3.278187709807319,0.0,0.0,0.0,71.74373562074354,70.78444504406117,72.7030261974259,13.0,10.0,8.0,18.0,0.365,0.33784612097153366,0.3921538790284663,0.0,0.0,0.64
periodic_full,20.0,0.2,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,39.95397608800571,39.209765638091156,40.698186537920265,14.0,9.0,9.0,18.0,0.32,0.2989420039320738,0.3410579960679262,0.0,0.0,0.0
periodic_partial,20.0,0.2,20.0,20.0,20.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,117.41078538317599,115.96067292059845,118.86089784575353,13.0,9.0,9.0,18.0,0.1284,0.1199142256133053,0.1368857743866947,0.0,0.0,0.0
threshold,20.0,0.2,20.0,20.0,20.0,0.0,0.0,0.0,0.88,0.712931050197902,1.047068949802098,1.648,1.5811724200791606,1.7148275799208392,40.84007741646493,40.0305335689758,41.64962126395406,16.0,9.0,11.0,20.0,0.635,0.603781353139131,0.6662186468608691,0.0,0.0,0.0
conservative_bandit,20.0,0.2,20.0,20.0,20.0,3.332,3.1132120824429785,3.550787917557021,3.334,3.2246060412214894,3.4433939587785107,0.0,0.0,0.0,71.97972949076456,71.01875069758178,72.94070828394733,12.0,8.25,7.75,16.0,0.404,0.37741789991573693,0.4305821000842631,0.0,0.0,0.528
periodic_full,20.0,0.3,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,40.44458284787119,39.649805316270346,41.23936037947203,14.0,9.0,10.0,19.0,0.326,0.30510274593984876,0.34689725406015126,0.0,0.0,0.0
