policy,total_cost_spent,total_cost_spent_ci95_low,total_cost_spent_ci95_high,probes,probes_ci95_low,probes_ci95_high,partial_recal,partial_recal_ci95_low,partial_recal_ci95_high,full_recal,full_recal_ci95_low,full_recal_ci95_high,cumulative_reward_mean,cumulative_reward_ci95_low,cumulative_reward_ci95_high,time_to_failure_median,time_to_failure_IQR,time_to_failure_iqr_q1,time_to_failure_iqr_q3,unnecessary_recalibration_rate,unnecessary_recalibration_rate_ci95_low,unnecessary_recalibration_rate_ci95_high
periodic_full,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,56.69558276223652,56.30596133360646,57.08520419086658,50.5,32.25,32.5,64.75,0.2583333333333333,0.18031164507690145,0.33635502158976516
periodic_partial,80.0,80.0,80.0,0.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,63.20512985353462,62.76097372238087,63.649285984688376,81.0,0.0,81.0,81.0,0.5125,0.4781152562019053,0.5468847437980946
threshold,100.0,100.0,100.0,0.0,0.0,0.0,6.25,-0.14735385637189502,12.647353856371895,7.5,4.941058457451242,10.058941542548759,39.70130618624329,35.08438342399509,44.318228948491495,28.0,17.5,24.75,42.25,0.6749999999999999,0.5726281229432554,0.7773718770567445
conservative_bandit,82.5,81.98821169149025,83.01178830850975,1.25,0.9941058457451242,1.5058941542548758,20.0,20.0,20.0,0.0,0.0,0.0,63.12645978121477,62.59507457502719,63.65784498740235,81.0,0.0,81.0,81.0,0.5041666666666665,0.4029107776996289,0.6054225556337042
