policy,full_recal_mean,full_recal_ci95_low,full_recal_ci95_high,partial_recal_mean,partial_recal_ci95_low,partial_recal_ci95_high,probe_mean,probe_ci95_low,probe_ci95_high,cumulative_reward_mean,cumulative_reward_ci95_low,cumulative_reward_ci95_high,unnecessary_recal_rate_mean,unnecessary_recal_rate_ci95_low,unnecessary_recal_rate_ci95_high,time_to_failure_median,time_to_failure_iqr_q1,time_to_failure_iqr_q3
periodic_full,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.737481349161136,19.929083900382786,21.545878797939487,0.4,0.26933333333333337,0.5306666666666666,14.5,12.0,16.5
periodic_partial,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,23.941168563386004,23.449804802956297,24.43253232381571,0.32,0.15266501992842157,0.48733498007157844,31.0,25.25,31.0
threshold,1.4,0.801210109192437,1.9987898908075628,1.5,0.003025272981092453,2.9969747270189075,0.0,0.0,0.0,21.015602187402553,19.820818323896873,22.210386050908234,0.7699999999999999,0.6071901722868056,0.9328098277131942,19.0,16.25,22.0
conservative_bandit,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,20.79110765499024,19.552904933483603,22.029310376496873,0.0,0.0,0.0,15.0,8.5,16.75
