policy,total_cost_spent,total_cost_spent_ci95_low,total_cost_spent_ci95_high,probes,probes_ci95_low,probes_ci95_high,partial_recal,partial_recal_ci95_low,partial_recal_ci95_high,full_recal,full_recal_ci95_low,full_recal_ci95_high,cumulative_reward_mean,cumulative_reward_ci95_low,cumulative_reward_ci95_high,time_to_failure_median,time_to_failure_IQR,time_to_failure_iqr_q1,time_to_failure_iqr_q3,unnecessary_recalibration_rate,unnecessary_recalibration_rate_ci95_low,unnecessary_recalibration_rate_ci95_high
periodic_full,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,40.12737745051642,39.98611075689514,40.2686441441377,27.0,44.5,15.75,60.25,0.36,0.2973703282024112,0.42262967179758876
periodic_partial,80.0,80.0,80.0,0.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,45.724302788607496,45.485238867952376,45.963366709262615,61.0,0.0,61.0,61.0,0.5075000000000001,0.45464164409032687,0.5603583559096732
threshold,100.0,100.0,100.0,0.0,0.0,0.0,6.25,1.3823435877859644,11.117656412214036,7.5,5.552937435114385,9.447062564885615,32.562747509597195,30.273574387606565,34.851920631587824,28.0,21.5,20.5,42.0,0.6910000000000001,0.6154646787397132,0.7665353212602869
conservative_bandit,86.5,82.99528738320589,90.00471261679411,0.75,0.5552937435114386,0.9447062564885614,21.25,20.276468717557194,22.223531282442806,0.0,0.0,0.0,44.16814190221555,42.78010685513324,45.556176949297864,61.0,2.75,58.25,61.0,0.529,0.44713194235137926,0.6108680576486208
