policy,budget,beta,total_cost_spent,probes,partial_recal,full_recal,cumulative_reward_mean,cumulative_reward_ci95_low,cumulative_reward_ci95_high,time_to_failure_median,time_to_failure_IQR,unnecessary_recalibration_rate,mean_performance,mean_performance_ci95_low,mean_performance_ci95_high,best_conservative_for_budget,periodic_full_reward_mean,periodic_partial_reward_mean,periodic_full_ttf_median,periodic_partial_ttf_median
periodic_full,40.0,,40.0,0.0,0.0,4.0,44.08950324443329,43.64243768173812,44.536568807128454,15.0,6.75,0.1625,0.801491720740555,0.7940406280289689,0.808942813452141,False,,,,
periodic_partial,40.0,,40.0,0.0,10.0,0.0,49.00200615467146,48.56418369801928,49.43982861132365,61.0,3.5,0.52,0.8833667692445243,0.8760697283003211,0.8906638101887274,False,,,,
conservative_bandit,40.0,0.1,38.0,1.0,9.0,0.0,47.8007612878546,47.26023616597998,48.341286409729214,55.0,29.75,0.35,0.8600126881309098,0.8510039360996662,0.8690214401621534,True,44.08950324443329,49.00200615467146,15.0,61.0
conservative_bandit,40.0,0.2,38.3,0.85,9.15,0.0,46.94479779172864,45.02720279213167,48.86239279132561,57.5,39.25,0.38,0.8462466298621439,0.8148047557765362,0.8776885039477517,False,44.08950324443329,49.00200615467146,15.0,61.0
conservative_bandit,40.0,0.3,38.4,0.8,9.2,0.0,47.446748829654425,46.38202341565266,48.51147424365619,58.0,24.25,0.35055555555555556,0.854779147160907,0.8375355195220029,0.872022774799811,False,44.08950324443329,49.00200615467146,15.0,61.0
conservative_bandit,40.0,0.5,38.5,0.75,9.25,0.0,46.578245657483606,44.5231739914683,48.633317323498915,53.5,43.25,0.4322222222222222,0.8404707609580602,0.806701739040027,0.8742397828760934,False,44.08950324443329,49.00200615467146,15.0,61.0
periodic_full,60.0,,60.0,0.0,0.0,6.0,43.448403452614436,43.125180443837685,43.771626461391186,18.0,24.75,0.225,0.824140057543574,0.8187530073972948,0.8295271076898532,False,,,,
periodic_partial,60.0,,60.0,0.0,15.0,0.0,47.43981844635105,47.07906725894735,47.80056963375475,61.0,0.0,0.4566666666666667,0.8906636407725174,0.8846511209824557,0.896676160562579,False,,,,
conservative_bandit,60.0,0.1,58.3,0.85,14.15,0.0,46.45251985562007,45.31135554816626,47.593684163073874,61.0,23.25,0.5557142857142857,0.8713753309270011,0.8528434381432232,0.8899072237107791,False,43.448403452614436,47.43981844635105,18.0,61.0
conservative_bandit,60.0,0.2,58.2,0.9,14.1,0.0,46.95041726736832,45.68644600687969,48.214388527856954,61.0,0.0,0.5109523809523809,0.8795069544561386,0.8587382894500154,0.9002756194622618,True,43.448403452614436,47.43981844635105,18.0,61.0
