policy,total_cost_spent,total_cost_spent_ci95_low,total_cost_spent_ci95_high,probes,probes_ci95_low,probes_ci95_high,partial_recal,partial_recal_ci95_low,partial_recal_ci95_high,full_recal,full_recal_ci95_low,full_recal_ci95_high,cumulative_reward_mean,cumulative_reward_ci95_low,cumulative_reward_ci95_high,time_to_failure_median,time_to_failure_IQR,time_to_failure_iqr_q1,time_to_failure_iqr_q3,unnecessary_recalibration_rate,unnecessary_recalibration_rate_ci95_low,unnecessary_recalibration_rate_ci95_high
periodic_full,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,147.2944914578017,146.6134571075402,147.97552580806322,13.5,10.0,8.0,18.0,0.07125,0.05721907687293995,0.08528092312706004
periodic_partial,100.0,100.0,100.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,163.3452506652152,162.74479266072652,163.94570866970386,40.0,63.25,16.0,79.25,0.251,0.23059887866075165,0.2714011213392483
threshold,100.0,100.0,100.0,0.0,0.0,0.0,4.375,2.280267682730641,6.469732317269359,8.25,7.4121070730922565,9.087892926907744,42.44862833837745,39.88106561505612,45.016191061698784,25.0,14.25,19.75,34.0,0.6785,0.6395752734861603,0.7174247265138397
conservative_bandit,98.65,98.44343055233443,98.85656944766558,3.825,3.498338502150598,4.151661497849402,22.75,22.596032224315064,22.903967775684936,0.0,0.0,0.0,161.4279969478335,160.73480593767997,162.12118795798702,23.0,49.0,7.0,56.0,0.22109189723320158,0.20035061722589595,0.2418331772405072
