policy,full_recal_mean,full_recal_ci95_low,full_recal_ci95_high,partial_recal_mean,partial_recal_ci95_low,partial_recal_ci95_high,probe_mean,probe_ci95_low,probe_ci95_high,cumulative_reward_mean,cumulative_reward_ci95_low,cumulative_reward_ci95_high,unnecessary_recal_rate_mean,unnecessary_recal_rate_ci95_low,unnecessary_recal_rate_ci95_high,time_to_failure_median,time_to_failure_iqr_q1,time_to_failure_iqr_q3
periodic_full,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.274846868020338,14.811715841056873,15.737977894983803,0.8333333333333334,0.5066666666666666,1.1600000000000001,15.0,12.75,16.5
periodic_partial,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,16.188954394314667,15.887008360717589,16.490900427911743,0.27777777777777773,0.07699658737451037,0.4785589681810451,19.5,11.25,21.0
threshold,0.6666666666666666,0.2534623857379983,1.079870947595335,1.0,-0.23961284278600492,2.2396128427860047,1.3333333333333333,0.5069247714759966,2.15974189519067,15.331622735577701,14.828581869147667,15.834663602007735,0.6666666666666666,0.32928678406370937,1.0040465492696238,18.5,14.75,20.75
conservative_bandit,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,14.84233946636629,13.869018441786348,15.815660490946232,0.0,0.0,0.0,15.0,11.0,19.75
