policy,total_cost_spent,total_cost_spent_ci95_low,total_cost_spent_ci95_high,probes,probes_ci95_low,probes_ci95_high,partial_recal,partial_recal_ci95_low,partial_recal_ci95_high,full_recal,full_recal_ci95_low,full_recal_ci95_high,cumulative_reward_mean,cumulative_reward_ci95_low,cumulative_reward_ci95_high,time_to_failure_median,time_to_failure_IQR,time_to_failure_iqr_q1,time_to_failure_iqr_q3,unnecessary_recalibration_rate,unnecessary_recalibration_rate_ci95_low,unnecessary_recalibration_rate_ci95_high,post_switch_time_to_failure_median,collapse_rate
periodic_full,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,146.4144918449229,145.61593231118002,147.2130513786658,16.0,11.0,9.0,20.0,0.07749999999999999,0.06231190089476698,0.092688099105233,0.0,0.0
periodic_partial,100.0,100.0,100.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,162.44004039540965,161.8369019219464,163.0431788688729,42.0,86.0,11.75,97.75,0.2415,0.21696628143074426,0.26603371856925573,0.0,0.15
threshold,100.0,100.0,100.0,0.0,0.0,0.0,3.75,1.7814899935307364,5.7185100064692636,8.5,7.712595997412294,9.287404002587705,39.978889685488454,37.912335484344204,42.045443886632704,23.0,12.0,18.0,30.0,0.696,0.6455579191145862,0.7464420808854138,0.0,0.0
conservative_bandit,98.55,98.35307181801286,98.74692818198713,3.7625,3.404806797359539,4.120193202640461,22.725,22.51879870348724,22.931201296512764,0.0125,-0.011999999999999997,0.037,160.28025585256094,159.3372816096155,161.22323009550638,42.0,76.25,11.75,88.0,0.24381560166886249,0.2201256973929652,0.26750550594475975,0.0,0.125
