scenario,policy,beta,budget,median_time_to_failure,collapse_rate,cumulative_reward_mean
periodic_collapse_under_shock,periodic_full,,100.0,79.0,0.975,177.57182807302365
periodic_collapse_under_shock,periodic_partial,,100.0,251.0,0.2875,201.54258371641555
periodic_collapse_under_shock,conservative_best,0.4,100.0,31.0,1.0,82.5201561731194
low_beta_instability,conservative_bandit,0.01,100.0,31.0,1.0,82.79154247412642
low_beta_instability_reference,conservative_best,0.4,100.0,31.0,1.0,82.5201561731194
over_conservative_stagnation,conservative_bandit,1.0,100.0,31.0,1.0,82.51336359636727
over_conservative_stagnation_reference,conservative_best,0.4,100.0,31.0,1.0,82.5201561731194
low_budget_breakdown,periodic_full,,5.0,31.0,1.0,39.60396882656035
low_budget_breakdown,periodic_partial,,5.0,33.0,1.0,40.46815448251675
low_budget_breakdown,conservative_best,0.4,5.0,31.0,1.0,39.03216070653212
