episode,cumulative_utility,mean_utility,mean_performance,silent_failure_rate,mean_cost
0,-1.2067288919134629,-0.004826915567653851,0.015264924432346182,0.004,0.004592000000000001
1,-8.718901110427655,-0.034875604441710624,0.025223915558289442,0.012,0.004976000000000001
2,4.785754648207916,0.019143018592831663,0.019241258592831666,0.0,0.004912000000000001
3,3.7444977924852063,0.014977991169940825,0.015072231169940838,0.0,0.004712000000000002
4,-26.60472288916271,-0.10641889155665084,0.013663348443349283,0.024,0.004112000000000001
5,-5.975823910157987,-0.02390329564063195,0.01618838435936808,0.008,0.004584000000000001
6,0.4362859284539281,0.0017451437138157125,0.021839063713815735,0.004,0.004696000000000001
7,-1.8348452874222978,-0.0073393811496891915,0.03277053885031083,0.008,0.005496000000000002
8,5.6122684480794,0.022449073792317597,0.02254539379231758,0.0,0.004816000000000001
9,-13.026921979768932,-0.05210768791907573,0.02799743208092429,0.016,0.005256
10,-16.062285996590056,-0.06424914398636022,0.03585565601363988,0.02,0.00524
11,4.804484901686157,0.01921793960674463,0.0193182596067446,0.0,0.005016
12,-1.919800201955194,-0.007679200807820776,0.012408639192179233,0.004,0.004392000000000001
13,-7.016161982965778,-0.028064647931863113,0.012018872068136939,0.008,0.004176000000000001
14,-8.023245634367655,-0.032092982537470616,0.028002537462529384,0.012,0.004776000000000002
15,2.3895030378342836,0.009558012151337135,0.029654012151337145,0.004,0.0048000000000000004
16,0.1520434018343031,0.0006081736073372124,0.020702093607337182,0.004,0.004696000000000001
17,3.9452656540779993,0.015781062616311996,0.035881222616312006,0.004,0.005008000000000001
18,0.3389016474642129,0.0013556065898568516,0.04146552658985687,0.008,0.005496
19,-8.930086320048833,-0.03572034528019533,0.024375014719804678,0.012,0.0047680000000000005
