policy,total_cost_spent,total_cost_spent_ci95_low,total_cost_spent_ci95_high,probes,probes_ci95_low,probes_ci95_high,partial_recal,partial_recal_ci95_low,partial_recal_ci95_high,full_recal,full_recal_ci95_low,full_recal_ci95_high,cumulative_reward_mean,cumulative_reward_ci95_low,cumulative_reward_ci95_high,time_to_failure_median,time_to_failure_IQR,time_to_failure_iqr_q1,time_to_failure_iqr_q3,unnecessary_recalibration_rate,unnecessary_recalibration_rate_ci95_low,unnecessary_recalibration_rate_ci95_high
periodic_full,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,147.2034935004976,146.6110581681963,147.79592883279886,15.0,9.0,10.0,19.0,0.07833333333333332,0.06692650130189427,0.08974016536477238
periodic_partial,100.0,100.0,100.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,163.31786539789877,162.86044443074664,163.7752863650509,39.5,66.75,12.5,79.25,0.25266666666666665,0.23612157660257943,0.26921175673075387
threshold,100.0,100.0,100.0,0.0,0.0,0.0,4.791666666666667,3.023630525241493,6.559702808091841,8.083333333333334,7.376118876763264,8.790547789903403,42.10416326656865,40.079535463987966,44.12879106914933,25.0,14.0,20.0,34.0,0.656,0.6214809738169303,0.6905190261830697
conservative_bandit,98.83333333333333,98.6561734594481,99.01049320721856,2.191666666666667,1.981242367639879,2.402090965693455,22.466666666666665,21.81185265824831,23.12148067508502,0.4583333333333333,0.18892797264796563,0.727738694018701,131.62793782296973,124.24451275071343,139.01136289522603,30.5,55.0,7.0,62.0,0.3544577739088608,0.32036687367481276,0.38854867414290883
