policy,total_cost_spent,total_cost_spent_ci95_low,total_cost_spent_ci95_high,probes,probes_ci95_low,probes_ci95_high,partial_recal,partial_recal_ci95_low,partial_recal_ci95_high,full_recal,full_recal_ci95_low,full_recal_ci95_high,cumulative_reward_mean,cumulative_reward_ci95_low,cumulative_reward_ci95_high,time_to_failure_median,time_to_failure_IQR,time_to_failure_iqr_q1,time_to_failure_iqr_q3,unnecessary_recalibration_rate,unnecessary_recalibration_rate_ci95_low,unnecessary_recalibration_rate_ci95_high
periodic_full,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,59.521254044803165,59.05746915512091,59.98503893448542,14.5,16.25,11.0,27.25,0.1611111111111111,0.11287850810040276,0.20934371412181943
periodic_partial,56.0,56.0,56.0,0.0,0.0,0.0,14.0,14.0,14.0,0.0,0.0,0.0,64.37112888622363,63.999082191103156,64.7431755813441,42.0,73.5,7.5,81.0,0.3476190476190476,0.3027239378494295,0.3925141573886657
threshold,60.0,60.0,60.0,0.0,0.0,0.0,4.0,1.5857434927583562,6.414256507241644,4.4,3.434297397103343,5.365702602896658,39.72766071426523,36.61439938766896,42.84092204086149,21.0,13.25,15.25,28.5,0.7088888888888889,0.6323551194604831,0.7854226583172947
conservative_bandit,59.2,58.84339068030049,59.55660931969952,5.833333333333333,4.659274910563568,7.0073917561030985,10.966666666666667,9.978887579570664,11.95444575376267,0.36666666666666664,-0.03735214856986935,0.7706854819032026,57.90509030750424,55.276596073926754,60.53358454108172,43.0,59.75,13.25,73.0,0.4049148074148073,0.33819936247324095,0.4716302523563736
